plist-sz,totsck,ldavg-1,pgfree/s,proc/s,all_%%usr,file-nr,cswch/s,%%memused,runq-sz,TimeStamp
404,241,1.94,180,0,4.56,2112,7890,6.19,0,1409228771
404,241,1.79,482,3,2.04,2112,6864,6.19,1,1409228772
404,241,1.79,1343,12,1.96,2160,5365,6.2,1,1409228773
413,246,1.79,2070,9,2.71,2160,3496,6.22,1,1409228774
422,251,1.79,17463,9,7.76,2160,2730,6.27,1,1409228775
422,251,1.79,26368,20,8.58,2256,4031,6.28,1,1409228776
431,256,1.8,30214,9,11.35,2256,3808,6.3,2,1409228777
431,256,1.8,30100,11,11.82,2256,4160,6.31,3,1409228778
440,261,1.8,29347,9,11.97,2256,5271,6.35,6,1409228779
440,261,1.8,41992,0,16.58,2256,5342,6.36,4,1409228780
440,261,1.8,38418,3,14.21,2256,5724,6.37,3,1409228781
440,261,2.22,37998,0,14.42,2256,6205,6.37,7,1409228782
440,261,2.22,38396,0,14.94,2256,6516,6.38,2,1409228783
440,261,2.22,37935,0,14.13,2256,6503,6.39,5,1409228784
458,272,2.22,48072,18,17.77,2256,7225,6.47,5,1409228785
476,281,2.22,79149,18,25.7,2256,8642,6.56,5,1409228786
476,283,2.52,73918,0,23.02,2256,8077,6.57,7,1409228787
485,286,2.52,87923,20,27.24,2304,9482,6.6,5,1409228788
485,286,2.52,83025,0,25.94,2304,9790,6.61,5,1409228789
494,291,2.52,92015,9,31.16,2304,10296,6.66,5,1409228790
503,296,2.52,95926,29,31.52,2304,13445,6.7,5,1409228791
503,296,3.2,108845,0,36.58,2304,17506,6.72,6,1409228792
511,300,3.2,101588,19,34.48,2256,12392,6.74,8,1409228793
512,301,3.2,114302,1,40.82,2256,14372,6.78,7,1409228794
512,302,3.2,109666,0,41.82,2256,15962,6.8,9,1409228795
539,316,3.2,125446,30,44.22,2256,18877,6.91,14,1409228796
539,316,3.83,143504,0,49.56,2256,17522,6.93,10,1409228797
539,316,3.83,135420,0,47.54,2256,17538,6.95,8,1409228798
539,316,3.83,136094,0,48.32,2256,18012,6.96,13,1409228799
539,316,3.83,135650,0,50.61,2256,19646,6.98,9,1409228800
